Solvent Name,Energy,Free Energy,JobID,SMILES,Solvent Inchi,deltaG_Sol-Wat(kcal/mol),logP at 25C
CHLOROFORM,-76.43439432,-76.43106362, job_84 ,C(Cl)(Cl)Cl,InChI=1S/CHCl3/c2-1(3)4/h1H,3.3449743750338596,-2.451693503965266
2-PENTANONE,-76.43434346,-76.43107121, job_49 ,CCCC(=O)C,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",3.34021158172661,-2.4482026223910256
BUTANONE,-76.43437119,-76.43110189, job_74 ,CCC(=O)C,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",3.320959605609916,-2.43409191794555
DIMETHYLSULFOXIDE,-76.4344757,-76.43121484, job_112 ,CS(=O)C,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,3.2500824640587314,-2.382142632827661
NITROMETHANE,-76.4343621,-76.43124227, job_146 ,C[N+](=O)[O-],InChI=1S/CH3NO2/c1-2(3)4/h1H3,3.2328698921868884,-2.3695267063919596
"N,N-DIMETHYLFORMAMIDE",-76.43458275,-76.43132115, job_111 ,CN(C)C=O,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",3.1833719822645175,-2.3332472941721556
"1,2-DICHLOROETHANE",-76.43450355,-76.431348, job_5 ,C(CCl)Cl,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,3.166523365616036,-2.3208981281228747
"1,1,2-TRICHLOROETHANE",-76.43467606,-76.43138956, job_2 ,C(C(Cl)Cl)Cl,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",3.1404440915762475,-2.301783366817466
DICHLOROMETHANE,-76.4345669,-76.43140633, job_102 ,C(Cl)Cl,InChI=1S/CH2Cl2/c2-1-3/h1H2,3.129920765644994,-2.2940703122666366
"N,N-DIMETHYLACETAMIDE",-76.43472891,-76.4314682, job_110 ,CC(=O)N(C)C,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,3.09109678381742,-2.265614338207414
"Z-1,2-DICHLOROETHENE",-76.43467871,-76.43147575, job_101 ,C(=C\Cl)\Cl,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-,3.0863590908633305,-2.262141853896019
ACETONE,-76.43480264,-76.43159569, job_60 ,CC(=O)C,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,3.0110956614092963,-2.2069776462250004
PENTYLAMINE,-76.43505094,-76.4317242, job_155 ,CCCCCN,"InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3",2.9304544798128007,-2.147871823906044
ACETONITRILE,-76.43483462,-76.43175461, job_61 ,CC#N,InChI=1S/C2H3N/c1-2-3/h1H3,2.911371931126749,-2.1338853010190877
BUTYLAMINE,-76.43528105,-76.43196091, job_77 ,CCCCN,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",2.78191682442543,-2.0390013920350194
N-METHYLANILINE,-76.43544636,-76.43215055, job_141 ,CNC1=CC=CC=C1,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",2.662916017664112,-1.9517799451142501
TRIBUTYLPHOSPHATE,-76.43546076,-76.43218075, job_171 ,CCCCOP(=O)(OCCCC)OCCCC,"InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3",2.6439652458655876,-1.9378900078817414
PROPYLAMINE,-76.43551331,-76.43219843, job_161 ,CCCN,"InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3",2.632870886746132,-1.929758415488436
ACETIC ACID,-76.43594816,-76.43262267, job_59 ,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",2.3666564685855276,-1.7346369925748029
ANILINE,-76.43643933,-76.43316314, job_63 ,C1=CC=C(C=C1)N,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",2.0275066793528707,-1.486057708578202
O-CRESOL,-76.43661997,-76.43330039, job_88 ,CC1=CC=CC=C1O,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",1.9413810691062983,-1.4229320832393149
FORMIC ACID,-76.43675678,-76.43347548, job_124 ,C(=O)O,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",1.8315105182968976,-1.342402642503684
M-CRESOL,-76.43754433,-76.43424846, job_87 ,CC1=CC(=CC=C1)O,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",1.3464586114719994,-0.9868846397576895
FORMAMIDE,-76.43759901,-76.43432535, job_123 ,C(=O)N,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)",1.2982094444693169,-0.9515204916209749
1-DECANOL,-76.43772559,-76.43443042, job_16 ,CCCCCCCCCCO,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",1.232277073837062,-0.9031954682705364
1-NONANOL,-76.43801878,-76.43472967, job_27 ,CCCCCCCCCO,"InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3",1.044495005588542,-0.7655609081010288
"2,2,2-TRIFLUOROETHANOL",-76.43803063,-76.43475184, job_32 ,C(C(F)(F)F)O,"InChI=1S/C2H3F3O/c3-2(4,5)1-6/h6H,1H2",1.0305831310533593,-0.7553642223863462
1-OCTANOL,-76.43829425,-76.43501076, job_28 ,CCCCCCCCO,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",0.8681085007776465,-0.6362787075377933
"1,2-ETHANEDIOL",-76.43834479,-76.43507073, job_6 ,C(CO)O,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",0.8304767860417119,-0.608696603695748
BENZYL ALCOHOL,-76.43840389,-76.43514246, job_68 ,C1=CC=C(C=C1)CO,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",0.7854655654794152,-0.5757057031131347
1-HEPTANOL,-76.43851994,-76.43524131, job_18 ,CCCCCCCO,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",0.7234363008290771,-0.530241454916185
CYCLOPENTANOL,-76.43851101,-76.43525623, job_92 ,C1CCC(C1)O,"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2",0.7140738665502431,-0.5233792740056102
2-METHYL-2-PROPANOL,-76.43863349,-76.43537057, job_44 ,CC(C)(C)O,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",0.6423244874837699,-0.47079068382574285
1-HEXANOL,-76.4386916,-76.43541633, job_19 ,CCCCCCO,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",0.6136096756488519,-0.44974420939870313
2-METHOXYETHANOL,-76.4388395,-76.43558238, job_42 ,COCCO,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",0.5094118061961866,-0.37337255119682694
2-BUTANOL,-76.43891367,-76.43566159, job_38 ,CCC(C)O,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",0.45970681830897564,-0.33694136152096765
1-PENTANOL,-76.43893196,-76.43566197, job_29 ,CCCCCO,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",0.4594683648870808,-0.3367665874749178
1-BUTANOL,-76.43907682,-76.4358101, job_12 ,CCCCO,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",0.36651545671741403,-0.2686369052760982
2-PROPANOL,-76.43912882,-76.43588151, job_50 ,CC(C)O,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",0.3217050390249795,-0.235793182828927
2-METHYL-1-PROPANOL,-76.43914856,-76.43588175, job_43 ,CC(C)CO,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",0.32155443687035346,-0.23568279922571148
2-PROPEN-1-OL,-76.4392384,-76.43596915, job_51 ,C=CCO,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",0.266710150262576,-0.195484768947965
1-PROPANOL,-76.43927953,-76.43601662, job_31 ,CCCO,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",0.23692229803358997,-0.17365181131696875
ETHANOL,-76.43944996,-76.43619063, job_117 ,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.12772945694675844,-0.09361909681541548
WATER,-76.43964902,-76.43639418, job_175 ,O,InChI=1S/H2O/h1H2,0.0,-0.0
N-METHYLFORMAMIDE,-76.43975054,-76.43648664, job_143 ,CNC=O,"InChI=1S/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)",-0.058019482142971174,0.04252528465839482
METHANOL,-76.4398961,-76.43663006, job_135 ,CO,"InChI=1S/CH4O/c1-2/h2H,1H3",-0.14801682292332277,0.10848868856731202
