Solvent Name,Energy,Free Energy,JobID,SMILES,Solvent Inchi,deltaG_Sol-Wat(kcal/mol),logP at 25C
MESITYLENE,-76.43140557,-76.42803053, job_134 ,CC1=CC(=CC(=C1)C)C,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",5.2482656478453675,-3.846707733232276
TERT-BUTYLBENZENE,-76.43140244,-76.42803054, job_80 ,CC(C)(C)C1=CC=CC=C1,"InChI=1S/C10H14/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3",5.248259372759307,-3.8467031339181985
CARBON DISULFIDE,-76.43140096,-76.42803729, job_81 ,C(=S)=S,InChI=1S/CS2/c2-1-3,5.244023687002166,-3.843598594961748
M-XYLENE,-76.43145038,-76.42807885, job_177 ,CC1=CC(=CC=C1)C,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",5.217944412962377,-3.82448383365634
"1,2,4-TRIMETHYLBENZENE",-76.43145908,-76.4280882, job_3 ,CC1=CC(=C(C=C1)C)C,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3",5.212077203812923,-3.8201834722946844
ISOPROPYLBENZENE,-76.43146084,-76.42809029, job_132 ,CC(C)C1=CC=CC=C1,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3",5.2107657100058775,-3.819222215051214
XYLENE,-76.43148707,-76.42811724, job_176 ,CC1=CC=CC=C1C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",5.1938543424522035,-3.8068270558284794
BENZENE,-76.43150079,-76.42812654, job_66 ,C1=CC=CC=C1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,5.188018508759804,-3.802549691056819
ETHYLBENZENE,-76.43151486,-76.42814687, job_121 ,CCC1=CC=CC=C1,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",5.175261250782063,-3.7931992796617777
TOLUENE,-76.43153121,-76.42816116, job_169 ,CC1=CC=CC=C1,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",5.166294147174727,-3.7866268557210816
O-XYLENE,-76.43161719,-76.42825352, job_178 ,CC1=CC=CC=C1C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",5.108337415936949,-3.7441475642361404
"1,4-DIOXANE",-76.43164636,-76.42827081, job_7 ,C1COCCO1,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,5.097487785325448,-3.736195345202962
TETRALIN,-76.43169995,-76.42834334, job_166 ,C1CCC2=CC=CC=C2C1,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",5.051974557557285,-3.7028364992588676
THIOPHENE,-76.43178817,-76.42843092, job_167 ,C1=CSC=C1,InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H,4.997017319337997,-3.662555681281978
1-IODOHEXADECANE,-76.43195718,-76.42861954, job_23 ,CCCCCCCCCCCCCCCCI,"InChI=1S/C16H33I/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h2-16H2,1H3",4.878656571756133,-3.5758033646912146
DIIODOMETHANE,-76.43197666,-76.42873712, job_106 ,C(I)I,InChI=1S/CH2I2/c2-1-3/h1H2,4.804874063539787,-3.521724595822185
HEXANOIC ACID,-76.4323462,-76.42895006, job_128 ,CCCCCC(=O)O,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",4.67125229707258,-3.4237867403691977
1-FLUOROOCTANE,-76.43231481,-76.42898569, job_17 ,CCCCCCCCF,"InChI=1S/C8H17F/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3",4.648894151403027,-3.407399374024068
1-HEXYNE,-76.43240175,-76.42906551, job_21 ,CCCCC#C,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3",4.598806383025356,-3.3706876260130203
DIBUTYLETHER,-76.43241999,-76.42907555, job_98 ,CCCCOCCCC,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",4.592506192670204,-3.36606991178395
IODOBENZENE,-76.43249828,-76.42917717, job_129 ,C1=CC=C(C=C1)I,InChI=1S/C6H5I/c7-6-4-2-1-3-5-6/h1-5H,4.528738728084267,-3.3193316527836565
O-CHLOROTOLUENE,-76.43250895,-76.42918948, job_86 ,CC1=CC=CC=C1Cl,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",4.521014092292725,-3.3136698935989
PENTANOIC ACID,-76.43258643,-76.42919424, job_153 ,CCCCC(=O)O,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)",4.518027149455272,-3.3114806187255392
1-BROMOOCTANE,-76.43258847,-76.42927381, job_9 ,CCCCCCCCBr,"InChI=1S/C8H17Br/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3",4.468096258327205,-3.274883853638321
TRIETHYLAMINE,-76.43266138,-76.4292987, job_173 ,CCN(CC)CC,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",4.452477559313478,-3.2634361537102894
ANISOLE,-76.43265139,-76.42932795, job_64 ,COC1=CC=CC=C1,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",4.434122921065232,-3.2499831515896376
TRICHLOROETHENE,-76.43259398,-76.42938975, job_172 ,C(=C(Cl)Cl)Cl,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,4.395342864866834,-3.221559372748563
ETHYL PHENYL ETHER,-76.43275204,-76.42942867, job_120 ,CCOC1=CC=CC=C1,"InChI=1S/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3",4.370920214590353,-3.2036588311242777
BROMOBENZENE,-76.43275847,-76.4294473, job_69 ,C1=CC=C(C=C1)Br,InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,4.359229721911703,-3.1950903036125804
DIPHENYLETHER,-76.43284745,-76.42951773, job_113 ,C1=CC=C(C=C1)OC2=CC=CC=C2,InChI=1S/C12H10O/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H,4.315034263045563,-3.16269731423257
DIISOPROPYL ETHER,-76.43286149,-76.42952698, job_107 ,CC(C)OC(C)C,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",4.309229804792382,-3.1584429460378307
